id,text,label,word_count,char_count,avg_word_length,punctuation_density
37,It is better to light a candle than curse the darkness.,human,11,55,4.090909091,0.090909091
38,The robotic exoskeleton assisted the user with heavy lifting.,ai,9,61,5.888888889,0.111111111
39,The magician made a coin disappear from his hand.,ai,9,49,4.555555556,0.111111111
40,"He carried an umbrella, though the forecast promised sunshine.",ai,9,62,6,0.222222222
41,The voice assistant booked a flight and a hotel room for the user.,ai,13,66,4.153846154,0.076923077
42,The intelligent agent completed the online form automatically.,ai,8,62,6.875,0.125
43,The augmented reality app overlaid digital information on the real world.,ai,11,73,5.727272727,0.090909091
44,The best revenge is massive success.,human,6,36,5.166666667,0.166666667
45,I'd rather be a failure at something I love than a success at something I hate.,human,16,79,4,0.125
46,Just keep swimming.,human,3,19,5.666666667,0.333333333
47,The AI-powered search engine provided the most relevant results.,ai,9,64,6.222222222,0.222222222
48,The only way out is through.,human,6,28,3.833333333,0.166666667
49,You can’t always get what you want.,human,7,35,4.142857143,0.142857143
50,The best way to predict the future is to create it.,human,11,51,3.727272727,0.090909091
51,"True love cannot be found where it does not exist, nor can it be denied where it does.",human,18,86,3.833333333,0.111111111
52,The intelligent recommendation engine suggested a new movie to watch.,ai,10,69,6,0.1
53,The self-learning algorithm improved its performance at a game over time.,ai,11,73,5.727272727,0.181818182
54,Put your shoes on before you go outside.,human,8,40,4.125,0.125
55,The only journey is the one within.,human,7,35,4.142857143,0.142857143
56,A journey of a thousand miles begins with a single step.,human,11,56,4.181818182,0.090909091
57,The AI moderator removed inappropriate content.,ai,6,47,7,0.166666667
58,The only true failure is to stop trying.,human,8,40,4.125,0.125
59,The geneticist sequenced the new DNA sample.,ai,7,44,5.428571429,0.142857143
60,"A fool thinks himself to be wise, but a wise man knows himself to be a fool.",human,17,76,3.529411765,0.117647059
61,The best way out is always through.,human,7,35,4.142857143,0.142857143
62,Go wash your hands before you eat.,human,7,34,4,0.142857143
63,The only true wisdom is in knowing you know nothing.,human,10,52,4.3,0.1
64,Injustice anywhere is a threat to justice everywhere.,human,8,53,5.75,0.125
65,"We are all broken, that's how the light gets in.",human,10,48,3.9,0.3
66,"Money doesn't grow on trees, you know.",human,7,38,4.571428571,0.428571429
67,What lies behind us and what lies before us are tiny matters compared to what lies within us.,human,18,93,4.222222222,0.055555556
68,"Stay hungry, stay foolish.",human,4,26,5.75,0.5
69,The AI-driven financial advisor recommended a new investment portfolio.,ai,9,71,7,0.222222222
70,I drink your milkshake!,human,4,23,5,0.25
71,The future belongs to those who prepare for it today.,human,10,53,4.4,0.1
72,Love is the condition in which the happiness of another person is essential to your own.,human,16,88,4.5625,0.0625
73,The facial recognition software unlocked the phone.,ai,7,51,6.428571429,0.142857143
74,Think different.,human,2,16,7.5,0.5
75,The drone captured a panoramic view of the mountain range.,ai,10,58,4.9,0.1
76,"The secret of change is to focus all of your energy, not on fighting the old, but on building the new.",human,21,102,3.904761905,0.142857143
77,A paper airplane soared gracefully through the classroom air.,ai,9,61,5.888888889,0.111111111
78,Love is an endless act of forgiveness.,human,7,38,4.571428571,0.142857143
79,The coffee table was stacked with books.,ai,7,40,4.857142857,0.142857143
80,The lighthouse beam swept across the turbulent ocean waters.,ai,9,60,5.777777778,0.111111111
81,"The first duty of man is to conquer fear; he must get rid of it, he cannot act till then.",human,20,89,3.5,0.15
82,The only thing we have to fear is fear itself.,human,10,46,3.7,0.1
83,"The world is changed by your example, not by your opinion.",human,11,58,4.363636364,0.181818182
84,The virtual assistant translated the foreign language in real-time.,ai,9,67,6.555555556,0.222222222
85,"Frankly, my dear, I don’t give a damn.",human,8,38,3.875,0.375
86,She controlled the home appliances with her smartphone.,ai,8,55,6,0.125
87,The children chased butterflies in the meadow.,ai,7,46,5.714285714,0.142857143
88,You can't be brave without being scared.,human,7,40,4.857142857,0.285714286
89,"It’s not who I am underneath, but what I do that defines me.",human,13,60,3.692307692,0.153846154
90,The speech synthesizer mimicked his voice convincingly.,ai,7,55,7,0.142857143
91,I never dreamed about success. I worked for it.,human,9,47,4.333333333,0.222222222
92,There is no greater agony than bearing an untold story inside you.,human,12,66,4.583333333,0.083333333
93,"Hope is a good thing, maybe the best of things, and no good thing ever dies.",human,16,76,3.8125,0.1875
94,The search engine ranked the most relevant results first.,ai,9,57,5.444444444,0.111111111
95,The facial recognition system failed in low light.,ai,8,50,5.375,0.125
96,My name is Inigo Montoya. You killed my father. Prepare to die.,human,12,63,4.333333333,0.25
97,The drone inspected the power lines for damage.,ai,8,47,5,0.125
98,Act as if what you do makes a difference. It does.,human,11,50,3.636363636,0.181818182
99,Parting is such sweet sorrow.,human,5,29,5,0.2
100,The train whistle echoed across the quiet countryside.,ai,8,54,5.875,0.125
101,The smart thermostat lowered the temperature before bedtime.,ai,8,60,6.625,0.125
102,The best preparation for tomorrow is doing your best today.,human,10,59,5,0.1
103,The automated system completed the user's tax return with a few simple inputs.,ai,13,78,5.076923077,0.153846154
104,You'll never get to the place you want to be if you keep dragging the baggage from your past.,human,19,93,3.947368421,0.105263158
105,The AI assistant scheduled a meeting without being asked.,ai,9,57,5.444444444,0.111111111
106,She opened the dusty photo album and smiled at old memories.,ai,11,60,4.545454545,0.090909091
107,The candle flickered gently in the breeze.,ai,7,42,5.142857143,0.142857143
108,Innovation distinguishes between a leader and a follower.,human,8,57,6.25,0.125
109,"It is not how much we have, but how much we enjoy, that makes happiness.",human,15,72,3.866666667,0.2
110,"The notebook lay open on the desk, half filled.",ai,9,47,4.333333333,0.222222222
111,The die is cast.,human,4,16,3.25,0.25
112,Done is better than perfect.,human,5,28,4.8,0.2
113,The greatest pleasure in life is doing what people say you cannot do.,human,13,69,4.384615385,0.076923077
114,The greatest wealth is health.,human,5,30,5.2,0.2
115,The smart traffic lights adjusted their timing to prevent congestion.,ai,10,69,6,0.1
116,The greatest trick the Devil ever pulled was convincing the world he didn't exist.,human,14,82,4.928571429,0.142857143
117,"In the end, it's not the years in your life that count. It's the life in your years.",human,18,84,3.722222222,0.277777778
118,"Elementary, my dear Watson.",human,4,27,6,0.5
119,The truth is rarely pure and never simple.,human,8,42,4.375,0.125
120,The only limit to our realization of tomorrow will be our doubts of today.,human,14,74,4.357142857,0.071428571
121,I am not a product of my circumstances. I am a product of my decisions.,human,15,71,3.8,0.133333333
122,"We are the music makers, and we are the dreamers of dreams.",human,12,59,4,0.166666667
123,I think this is the beginning of a beautiful friendship.,human,10,56,4.7,0.1
124,Keep your face always toward the sunshine—and shadows will fall behind you.,human,12,75,5.333333333,0.083333333
125,"If you build it, he will come.",human,7,30,3.428571429,0.285714286
126,Love means never having to say you’re sorry.,human,8,44,4.625,0.125
127,A single leaf drifted down from the tree outside.,ai,9,49,4.555555556,0.111111111
128,The train departed from the station with a loud whistle.,ai,10,56,4.7,0.1
129,You must do the thing you think you cannot do.,human,10,46,3.7,0.1
130,Why so serious?,human,3,15,4.333333333,0.333333333
131,"It is our choices that show what we truly are, far more than our abilities.",human,15,75,4.066666667,0.133333333
132,The wind chimes jingled softly as a breeze passed.,ai,9,50,4.666666667,0.111111111
133,It takes courage to grow up and become who you really are.,human,12,58,3.916666667,0.083333333
134,The smart pillbox reminded the patient to take their medication.,ai,10,64,5.5,0.1
135,"To err is human; to forgive, divine.",human,7,36,4.285714286,0.428571429
136,The automated system processed a million transactions in a minute.,ai,10,66,5.7,0.1
137,Nothing is impossible to a willing heart.,human,7,41,5,0.142857143
138,He closed the laptop after finishing his work.,ai,8,46,4.875,0.125
139,She scribbled a phone number on the paper.,ai,8,42,4.375,0.125
140,The smart contact lens measured the user's blood glucose levels.,ai,10,64,5.5,0.2
141,"Success is not final, failure is not fatal: It is the courage to continue that counts.",human,16,86,4.4375,0.1875
142,The secret to living is giving.,human,6,31,4.333333333,0.166666667
143,The coffee machine sputtered before finally brewing a cup.,ai,9,58,5.555555556,0.111111111
144,The Earth has music for those who listen.,human,8,41,4.25,0.125
145,"You are braver than you believe, stronger than you seem, and smarter than you think.",human,15,84,4.666666667,0.2
146,Success is not the key to happiness. Happiness is the key to success.,human,13,69,4.384615385,0.153846154
147,All that glitters is not gold.,human,6,30,4.166666667,0.166666667
148,"If you want to lift yourself up, lift up someone else.",human,11,54,4,0.181818182
149,"To succeed in life, you need two things: ignorance and confidence.",human,11,66,5.090909091,0.272727273
150,A drone inspected the wind turbines for any structural damage.,ai,10,62,5.3,0.1
151,"Your time is limited, don't waste it living someone else's life.",human,11,64,4.909090909,0.363636364
152,"Life is like riding a bicycle. To keep your balance, you must keep moving.",human,14,74,4.357142857,0.214285714
153,The self-driving car navigated the busy city streets.,ai,8,53,5.75,0.25
154,The smart doorbell recognized a family member and unlocked the door.,ai,11,68,5.272727273,0.090909091
155,"Love is all we have, the only way that each can help the other.",human,14,63,3.571428571,0.142857143
156,The trash can was nearly full.,ai,6,30,4.166666667,0.166666667
157,Life is what happens when you’re busy making other plans.,human,10,57,4.8,0.1
158,The AI system detected fraudulent activity in the account.,ai,9,58,5.555555556,0.111111111
159,An eye for an eye will only make the whole world blind.,human,12,55,3.666666667,0.083333333
160,A person who never made a mistake never tried anything new.,human,11,59,4.454545455,0.090909091
161,Life is either a daring adventure or nothing at all.,human,10,52,4.3,0.1
162,You must be the change you wish to see in the world.,human,12,52,3.416666667,0.083333333
163,A gentle knock echoed through the quiet hallway.,ai,8,48,5.125,0.125
164,The predictive algorithm scheduled a maintenance check for the wind turbine.,ai,11,76,6,0.090909091
165,Hitch your wagon to a star.,human,6,27,3.666666667,0.166666667
166,The simulation adjusted variables to test a different outcome.,ai,9,62,6,0.111111111
167,The only way to do great work is to love what you do.,human,13,53,3.153846154,0.076923077
168,You must learn to be still in the midst of activity and to be vibrantly alive in repose.,human,18,88,3.944444444,0.055555556
169,The best way to find yourself is to lose yourself in the service of others.,human,15,75,4.066666667,0.066666667
170,A drone surveyed the power lines for maintenance issues.,ai,9,56,5.333333333,0.111111111
171,You're not going anywhere until this is done.,human,8,45,4.75,0.25
172,"There is only one way to avoid criticism: do nothing, say nothing, and be nothing.",human,15,82,4.533333333,0.266666667
173,The chatbot provided instant help and guided the user through the process.,ai,12,74,5.25,0.083333333
174,"Yesterday is history, tomorrow is a mystery, today is a gift.",human,11,61,4.636363636,0.272727273
175,The wound is the place where the light enters you.,human,10,50,4.1,0.1
176,It's the little things in life that matter most.,human,9,48,4.444444444,0.222222222
177,"You have power over your mind - not outside events. Realize this, and you will find strength.",human,17,93,4.529411765,0.235294118
178,"You don't have to like it, but you do have to do it.",human,13,52,3.076923077,0.230769231
179,A paper airplane landed near the edge of the table.,ai,10,51,4.2,0.1
180,The future belongs to those who believe in the beauty of their dreams.,human,13,70,4.461538462,0.076923077
181,She hung the freshly washed laundry on the backyard line.,ai,10,57,4.8,0.1
182,Just do it.,human,3,11,3,0.333333333
183,"I am the master of my fate, I am the captain of my soul.",human,14,56,3.071428571,0.142857143
184,"If you want to live a happy life, tie it to a goal, not to people or things.",human,18,76,3.277777778,0.166666667
185,The difference between who you are and who you want to be is what you do.,human,16,73,3.625,0.0625
186,The smart mirror provided a personalized news summary.,ai,8,54,5.875,0.125
187,"If you want to go fast, go alone. If you want to go far, go together.",human,16,69,3.375,0.25
188,You can’t handle the truth!,human,5,27,4.6,0.2
189,The conversational bot answered the customer's questions.,ai,7,57,7.285714286,0.285714286
190,A deep learning algorithm recognized patterns in satellite images to monitor deforestation.,ai,12,91,6.666666667,0.083333333
191,Don't wish it were easier. Wish you were better.,human,9,48,4.444444444,0.333333333
192,The AI opponent in the game became harder to beat.,ai,10,50,4.1,0.1
193,The intelligent system managed the building's energy consumption.,ai,8,65,7.25,0.25
194,I don't want to hear it.,human,6,24,3.166666667,0.333333333
195,"What we think, we become.",human,5,25,4.2,0.4
196,It's only after we've lost everything that we're free to do anything.,human,12,69,4.833333333,0.333333333
197,A good plan violently executed now is better than a perfect plan executed next week.,human,15,84,4.666666667,0.066666667
198,Never let the fear of striking out keep you from playing the game.,human,13,66,4.153846154,0.076923077
199,The only way to escape the corruptible effect of praise is to go on working.,human,15,76,4.133333333,0.066666667
200,It does not do to dwell on dreams and forget to live.,human,12,53,3.5,0.083333333
201,An unexamined life is not worth living.,human,7,39,4.714285714,0.142857143
202,Share your toys with your sibling.,human,6,34,4.833333333,0.166666667
203,"Here's looking at you, kid.",human,5,27,4.6,0.6
204,"A person is a person, no matter how small.",human,9,42,3.777777778,0.222222222
205,The only impossible journey is the one you never begin.,human,10,55,4.6,0.1
206,"There is some good in this world, and it's worth fighting for.",human,12,62,4.25,0.25
207,I don’t want to survive. I want to live.,human,9,40,3.555555556,0.222222222
208,She planted colorful tulip bulbs in the front yard garden.,ai,10,58,4.9,0.1
209,The truth will set you free.,human,6,28,3.833333333,0.166666667
210,"I brought you into this world, and I can take you out.",human,12,54,3.583333333,0.166666667
211,The greatest mistake you can make in life is to be continually fearing that you will make one.,human,18,94,4.277777778,0.055555556
212,A butterfly landed gently on the blooming sunflower petals.,ai,9,59,5.666666667,0.111111111
213,It is during our darkest moments that we must focus to see the light.,human,14,69,4,0.071428571
214,The only thing that interferes with my learning is my education.,human,11,64,4.909090909,0.090909091
215,"Love is patient, love is kind.",human,6,30,4.166666667,0.333333333
216,She discovered a hidden passage behind the library bookshelf.,ai,9,61,5.888888889,0.111111111
217,Courage is grace under pressure.,human,5,32,5.6,0.2
218,"You only live once, but if you do it right, once is enough.",human,13,59,3.615384615,0.230769231
219,The librarian helped a student find a book on ancient history.,ai,11,62,4.727272727,0.090909091
220,"A man is but the product of his thoughts. What he thinks, he becomes.",human,14,69,4,0.214285714
221,Change your thoughts and you change your world.,human,8,47,5,0.125
222,The chatbot generated a polite response to the complaint.,ai,9,57,5.444444444,0.111111111
223,The intelligent recommendation engine suggested a personalized workout plan.,ai,9,76,7.555555556,0.111111111
224,Freedom lies in being bold.,human,5,27,4.6,0.2
225,If money does not make you happy; give it back.,human,10,47,3.8,0.2
226,The door creaked loudly as it swung open.,ai,8,41,4.25,0.125
227,"It is our choices, Harry, that show what we truly are, far more than our abilities.",human,16,83,4.25,0.25
228,The quantum computer performed the complex calculation.,ai,7,55,7,0.142857143
229,Happiness depends upon ourselves.,human,4,33,7.5,0.25
230,Kindness is a language which the deaf can hear and the blind can see.,human,14,69,4,0.071428571
231,His beauty was a curse.,human,5,23,3.8,0.2
232,"You weren't always a vampire, were you?",human,7,39,4.714285714,0.428571429
233,"I haven't failed. I've just found 10,000 ways that won't work.",human,11,62,4.727272727,0.545454545
234,"The fault, dear Brutus, is not in our stars, but in ourselves.",human,12,62,4.25,0.333333333
235,She stacked the magazines neatly on the table.,ai,8,46,4.875,0.125
236,Neural networks are inspired by the structure of the human brain.,ai,11,65,5,0.090909091
237,Love is the flower you've got to let grow.,human,9,42,3.777777778,0.222222222
238,The monitor displayed a blank blue screen.,ai,7,42,5.142857143,0.142857143
239,Sometimes silence speaks louder than words.,ai,6,43,6.333333333,0.166666667
240,"Keep your friends close, but your enemies closer.",human,8,49,5.25,0.25
241,"They may take our lives, but they’ll never take our freedom!",human,11,60,4.545454545,0.181818182
242,"When a woman is talking to you, listen to what she says with her eyes.",human,15,70,3.733333333,0.133333333
243,Try to be a rainbow in someone's cloud.,human,8,39,4,0.25
244,The AI-driven car adjusted its speed to avoid a potential collision.,ai,11,68,5.272727273,0.181818182
245,Fortune favors the bold.,human,4,24,5.25,0.25
246,"The most difficult thing is the decision to act, the rest is merely tenacity.",human,14,77,4.571428571,0.142857143
247,The shoes by the door were neatly lined up.,ai,9,43,3.888888889,0.111111111
248,The holographic display flickered before stabilizing.,ai,6,53,8,0.166666667
249,"I have nothing to offer but blood, toil, tears and sweat.",human,11,57,4.272727273,0.272727273
250,The natural language processing model summarized the long document.,ai,9,67,6.555555556,0.111111111
251,Life is what happens to you while you're busy making other plans.,human,12,65,4.5,0.166666667
252,"Do what you can, where you are, with what you have.",human,11,51,3.727272727,0.272727273
253,"When you change your thoughts, remember to change your world.",human,10,61,5.2,0.2
254,"We must let go of the life we have planned, so as to accept the one that is waiting for us.",human,21,91,3.380952381,0.095238095
255,A robotic arm sorted recyclable materials at a speed humans couldn't match.,ai,12,75,5.333333333,0.166666667
256,The smart agriculture drone sprayed fertilizer with pinpoint accuracy.,ai,9,70,6.888888889,0.111111111
257,I untangled the headphones that had knotted themselves.,ai,8,55,6,0.125
258,The person who says it cannot be done should not interrupt the person who is doing it.,human,17,86,4.117647059,0.058823529
259,The faucet dripped slowly into the empty sink.,ai,8,46,4.875,0.125
260,Believe you can and you're halfway there.,human,7,41,5,0.285714286
261,A man who stands for nothing will fall for anything.,human,10,52,4.3,0.1
262,To thine own self be true.,human,6,26,3.5,0.166666667
263,"The greatest glory in living lies not in never falling, but in rising every time we fall.",human,17,89,4.294117647,0.117647059
264,"The world breaks everyone, and afterward, many are strong at the broken places.",human,13,79,5.153846154,0.230769231
265,What you get by achieving your goals is not as important as what you become by achieving your goals.,human,19,100,4.315789474,0.052631579
266,Have the courage to follow your heart and intuition.,human,9,52,4.888888889,0.111111111
267,"It is not our abilities that show what we truly are, it is our choices.",human,15,71,3.8,0.133333333
268,"A ship in harbor is safe, but that is not what ships are built for.",human,15,67,3.533333333,0.133333333
269,I have always depended on the kindness of strangers.,human,9,52,4.888888889,0.111111111
270,"Life is what you make of it. Always has been, always will be.",human,13,61,3.769230769,0.230769231
271,"I enjoy learning new skills, even if I fail at first.",ai,11,53,3.909090909,0.181818182
272,"Do not go where the path may lead, go instead where there is no path and leave a trail.",human,19,87,3.631578947,0.105263158
273,The cat pounced on a toy mouse.,ai,7,31,3.571428571,0.142857143
274,The voice assistant dimmed the lights on command.,ai,8,49,5.25,0.125
275,The puppy wagged its tail as soon as it saw her.,ai,11,48,3.454545455,0.090909091
276,The paper rustled as I turned the page slowly.,ai,9,46,4.222222222,0.111111111
277,He leaned the broom against the wall after sweeping.,ai,9,52,4.888888889,0.111111111
278,All we have to decide is what to do with the time that is given us.,human,16,67,3.25,0.0625
279,The old library smelled of dust and forgotten stories.,ai,9,54,5.111111111,0.111111111
280,A man who dares to waste one hour of time has not discovered the value of life.,human,17,79,3.705882353,0.058823529
281,"Wax on, wax off.",human,4,16,3.25,0.5
282,The biggest risk is not taking any risk.,human,8,40,4.125,0.125
283,The algorithmic trading bot executed a high-frequency trade.,ai,8,60,6.625,0.25
284,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,human,19,110,4.842105263,0.052631579
285,The automated factory produced a new smartphone from raw materials.,ai,10,67,5.8,0.1
286,"Keep your face always toward the sunshine, and shadows will fall behind you.",human,13,76,4.923076923,0.153846154
287,"Keep your head high, keep your chin up, and most importantly, keep smiling.",human,13,75,4.846153846,0.307692308
288,Love is the only sane and satisfactory answer to the problem of human existence.,human,14,80,4.785714286,0.071428571
289,Every moment is a fresh beginning.,human,6,34,4.833333333,0.166666667
290,The old bookstore owner arranged novels on wooden shelves.,ai,9,58,5.555555556,0.111111111
291,The only constant in life is change.,human,7,36,4.285714286,0.142857143
292,Do not be afraid to give up the good to go for the great.,human,14,57,3.142857143,0.071428571
293,The only person you are destined to become is the person you decide to be.,human,15,74,4,0.066666667
294,Every strike brings me closer to the next home run.,human,10,51,4.2,0.1
295,War is peace. Freedom is slavery. Ignorance is strength.,human,9,56,5.333333333,0.333333333
296,A room without books is like a body without a soul.,human,11,51,3.727272727,0.090909091
297,She set the alarm clock for the next morning.,ai,9,45,4.111111111,0.111111111
298,The fire engine rushed down the street with its siren wailing.,ai,11,62,4.727272727,0.090909091
299,Happiness is the secret to all beauty.,human,7,38,4.571428571,0.142857143
300,Laziness is nothing more than the habit of resting before you get tired.,human,13,72,4.615384615,0.076923077
301,In the middle of every difficulty lies opportunity.,human,8,51,5.5,0.125
302,The car's GPS guided the driver through the city.,ai,9,49,4.555555556,0.222222222
303,"The only real prison is fear, and the only real freedom is freedom from fear.",human,15,77,4.2,0.133333333
304,"Houston, we have a problem.",human,5,27,4.6,0.4
305,The dish soap made bubbles in the sink.,ai,8,39,4,0.125
306,The keyboard clicked rapidly as she typed.,ai,7,42,5.142857143,0.142857143
307,The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.,human,23,114,4,0.086956522
308,"I think, therefore I am.",human,5,24,4,0.4
309,I missed the bus and had to walk home instead.,ai,10,46,3.7,0.1
310,"Two roads diverged in a wood, and I—I took the one less traveled by.",human,14,68,3.928571429,0.142857143
311,It's a beautiful day to save lives.,human,7,35,4.142857143,0.285714286
312,The old swing set creaked in the evening wind.,ai,9,46,4.222222222,0.111111111
313,"Not everything that is faced can be changed, but nothing can be changed until it is faced.",human,17,90,4.352941176,0.117647059
314,"The secret of change is to focus all of your energy not on fighting the old, but on building the new.",human,21,101,3.857142857,0.095238095
315,The nanobots performed repairs on the microscopic level.,ai,8,56,6.125,0.125
316,The time for action is now. It's never too late to do something.,human,13,64,4,0.230769231
317,The world is full of magical things patiently waiting for our wits to grow sharper.,human,15,83,4.6,0.066666667
318,The bakery smelled like warm bread and cinnamon.,ai,8,48,5.125,0.125
319,The weather app notified her of a storm warning.,ai,9,48,4.444444444,0.111111111
320,Never underestimate the power of a good book.,human,8,45,4.75,0.125
321,The robotic arm packed products into boxes with speed and accuracy.,ai,11,67,5.181818182,0.090909091
322,Life is 10% what happens to us and 90% how we react to it.,human,14,58,3.214285714,0.214285714
323,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven.",human,19,85,3.526315789,0.157894737
324,The calendar hung crookedly on the wall.,ai,7,40,4.857142857,0.142857143
325,I have a dream that one day this nation will rise up.,human,12,53,3.5,0.083333333
326,"If one were to build the house of happiness, the largest space would be the waiting room.",human,17,89,4.294117647,0.117647059
327,She painted the walls yellow to make the room feel brighter.,ai,11,60,4.545454545,0.090909091
328,"Roads? Where we’re going, we don’t need roads.",human,8,46,4.875,0.375
329,"It is not the length of life, but the depth of life.",human,12,52,3.416666667,0.166666667
330,The dude abides.,human,3,16,4.666666667,0.333333333
331,The chatbot provided instant customer support.,ai,6,46,6.833333333,0.166666667
332,"Storytelling was a way to see the world bigger than the one you were looking at, and that had great appeal for me.",human,23,114,4,0.086956522
333,The purpose of life is a life of purpose.,human,9,41,3.666666667,0.111111111
334,What's in a name? That which we call a rose by any other name would smell as sweet.,human,18,83,3.666666667,0.166666667
335,The intelligent chatbot answered a complex legal question.,ai,8,58,6.375,0.125
336,The automated system processed and sorted a million parcels in an hour.,ai,12,71,5,0.083333333
337,The neural network misclassified the image of a turtle as a rifle.,ai,12,66,4.583333333,0.083333333
338,"I feel that as a writer and as a performer too. I never really thought about the backstory for characters. It was much more of a musical approach: You learn a melody, and then you sing it, I suppose, or you find a rhythm or a cadence that works for the material. And then it's sort of about hitting that note correctly and finding those beats.",human,66,343,4.212121212,0.136363636
339,The app calculated her carbon footprint for the month.,ai,9,54,5.111111111,0.111111111
340,The very things that hold you down are going to lift you up.,human,13,60,3.692307692,0.076923077
341,"I refilled the bird feeder, hoping the sparrows would return.",ai,10,61,5.2,0.2
342,You talking to me?,human,4,18,3.75,0.25
343,"All right, all right, all right.",human,6,32,4.5,0.5
344,The automated drone delivered medicine to the remote village.,ai,9,61,5.888888889,0.111111111
345,He scratched his head while reading the instructions.,ai,8,53,5.75,0.125
346,"Don't wish it were easier, wish you were better.",human,9,48,4.444444444,0.333333333
347,The mind is everything. What you think you become.,human,9,50,4.666666667,0.222222222
348,It's a small world after all.,human,6,29,4,0.333333333
349,He zipped up his backpack tightly.,ai,6,34,4.833333333,0.166666667
350,He stacked the empty boxes in the corner.,ai,8,41,4.25,0.125
351,"We do not remember days, we remember moments.",human,8,45,4.75,0.25
352,The world is a book and those who do not travel read only one page.,human,15,67,3.533333333,0.066666667
353,It's the possibility of having a dream come true that makes life interesting.,human,13,77,5,0.153846154
354,You had me at hello.,human,5,20,3.2,0.2
355,"Do, or do not. There is no try.",human,8,31,3,0.375
356,Don't make me repeat myself.,human,5,28,4.8,0.4
357,The chair creaked as I leaned back to think.,ai,9,44,4,0.111111111
358,"Love is the only reality, and it is not a mere sentiment. It is the ultimate truth that lies at the heart of creation.",human,24,118,3.958333333,0.125
359,The floor mat was slightly askew.,ai,6,33,4.666666667,0.166666667
360,An automated email confirmed her reservation.,ai,6,45,6.666666667,0.166666667
361,"He stayed awake until sunrise, lost in his thoughts.",ai,9,52,4.888888889,0.222222222
362,We make the world we live in and shape our own environment.,human,12,59,4,0.083333333
363,The smart glasses displayed incoming messages.,ai,6,46,6.833333333,0.166666667
364,I tied my scarf tighter as the wind picked up.,ai,10,46,3.7,0.1
365,We'll always have Paris.,human,4,24,5.25,0.5
366,He whistled softly while waiting.,ai,5,33,5.8,0.2
367,She plugged her phone into the charger.,ai,7,39,4.714285714,0.142857143
368,I am the master of my fate: I am the captain of my soul.,human,14,56,3.071428571,0.142857143
369,The way to get started is to quit talking and begin doing.,human,12,58,3.916666667,0.083333333
370,The automated traffic lights adjusted to ease congestion during peak hours.,ai,11,75,5.909090909,0.090909091
371,"You'll find that if you're not afraid of being wrong, you'll be right a lot more often.",human,17,87,4.176470588,0.294117647
